"","term","content","mycoID","internal_variable_num"
"1488","CHEMICAL REACTIONS",NA,83,12
"1489","OUTER SURFACE","  spore-sac up to 1.3cm across, spherical; exoperidium very thin, membranous, when young dirty Sienna color, later chalk-white, Long described it as a sandy band, deciduous or almost, persistent as a band at the base [of the spore-sac]",83,13
"1490","INNER LAYER","  endoperidium nearly smooth, covered most of the time with remains of exoperidium as small scales, later whitish; mouth ""circular, small, slightly or not at all projecting""; socket (where stem attaches) ""very conspicuous, separated, shallow, with a thick membrane with a wavy or lacerate border"", according to Long spore-sac apparently loosely adhering to stem",83,14
"1491","SPORE MASS","  ochraceous",83,15
"1492","STEM","  up to 3cm long and 0.35cm wide, cream to light wood-color, rugose-squamose [wrinkled-scaly], the scales appressed and sloughing off in disorderly fashion; ending basally in small volva-shaped structure",83,16
"1493","ODOR",NA,83,17
"1494","TASTE",NA,83,18
"1495","EDIBILITY",NA,84,1
"1496","HABITAT","  sandy soil, February, April to June, August, October to November",84,2
"1497","SPORE DEPOSIT",NA,84,3
"1498","MICROSCOPIC","  spores 4.8-6 microns in diameter, round to elliptic, some almost pyriform [pear-shaped], almost smooth to minutely asperulate, guttulate, apiculate (some notably so), episporium thick^; capillitium 3-6.6 microns wide, colorless, branched, septate, septa colored and transverse, disjointable, slightly or not broadened at the septa, threads thick-walled, with visible lumen to solid",84,4
"1499","NAME ORIGIN","  refers to the white color of the endoperidium^ (Wright)",84,5
"1500","SIMILAR",NA,84,6
"1501","SOURCES","  Wright(1), Moreno(3), http://herbarium.lsa.umich.edu accessed October 9, 2004",84,7
"1502","MUSHROOM_ID","84",84,8
"1503","FAMILY","  Agaricaceae, Order Agaricales, Class Agaricomycetes, Phylum Basidiomycota",84,9
"1504","LATIN NAME(S)","  Tulostoma albocretaceum  Long & S. Ahmad^  Farlowia 3: 243-244. 1947",84,10
"1505","ENGLISH NAME(S)",NA,84,11
"1506","NOTES","  Tulostoma albocretaceum is unique by the combination of the macroscopic features and the smooth spores: features include 1) a nearly spherical to depressed spherical spore-sac with an indistinct exoperidium, 2) a whitish smooth endoperidium, 3) a mouth that is tubular, slightly projecting and entire, 4) a conspicuous socket where the stem is attached but without a distinct membrane at its border, 5) a sepia to ferruginous spore mass, 6) a somewhat striate stem with a conspicuous volva-shaped structure at the base, 7) nearly spherical to broadly elliptic smooth spores, and 8) characters of the capillitium.^ RANGE The type is from India. There is a doubtful collection from Turkmenistan (Wright). The University of Michigan has a collection submitted by Ellen Trueblood from ID, determined in 1994 by J. Wright.",84,12
"1507","CHEMICAL REACTIONS",NA,84,13
"1508","OUTER SURFACE","  spore-sac 1.2-1.5cm across and 0.8-1.1cm high, nearly spherical to depressed-spherical; exoperidium indistinct, falling away partially or totally, formed by a layer of ""granulose soil""",84,14
"1509","INNER LAYER","  endoperidium white to slightly creamy, ""smooth, almost chamois-like""; mouth ""tubular, slightly projecting, entire""; socket (where stem attaches) conspicuous, discoid, without a distinct membrane at its border or only vestigial, spore-sac firmly attached to stem",84,15
"1510","SPORE MASS","  ferruginous (sepia according to Long and Ahmad)",84,16
"1511","STEM","  4.8cm long and 0.4cm wide, long, straight; colored as exoperidium; somewhat striate, with a conspicuous volva-shaped structure at the base, volva ""membranaceous, whitish, tightly embracing the base of the stem"", double, the inner part consisting of lacerate fragments of the upper part of the stem; Long & Ahmad reported rooting rhizomorphs",84,17
"1512","ODOR",NA,84,18
"1513","TASTE",NA,85,1
"1514","EDIBILITY",NA,85,2
"1515","HABITAT","  single in clayish soil under shrubs (e.g. Capparis aphylla), February, October",85,3
"1516","SPORE DEPOSIT",NA,85,4
"1517","MICROSCOPIC","  spores 4-4.7 microns in diameter, (Long and Ahmad reported 4.8-5.2 microns), nearly spherical to elliptic, perfectly smooth, colored, some agglutinated, some apiculate, aguttulate [without droplets]^; capillitium threads 2-7.4 microns wide, colored, apparently ribbon-like in parts, thin-walled to thick-walled; endoperidium of thick-walled threads, with septa slightly or not inflated",85,5
"1518","NAME ORIGIN","  name applied to the chalky white color of the endoperidium^, (Wright)",85,6
"1519","SIMILAR","  Tulostoma obesum has larger spores, (Wright). Tulostoma mohavei may be distinguished by the correlation of its macroscopic features and its spores, (Wright).",85,7
"1520","SOURCES","  Wright(1), http://herbarium.lsa.umich.edu accessed October 9, 2004",85,8
"1521","MUSHROOM_ID","85",85,9
"1522","FAMILY","  Agaricaceae, Order Agaricales, Class Agaricomycetes, Phylum Basidiomycota",85,10
"1523","LATIN NAME(S)","  Tulostoma album  Massee^  Grevillea 19: 95. 1891",85,11
"1524","ENGLISH NAME(S)",NA,85,12
"1525","NOTES","  Features include 1) spherical spore-sac on stem, 2) exoperidium a loose layer of hyphae with agglutinated sand particles, 3) endoperidium pure white and bald, 4) small mouth with entire border, 5) scaly socket, 6) spore mass ochraceous, 7) stem short, ochraceous, and longitudinally wrinkled, 8) growth in sandy soil, 9) round spores that are distinctly verrucose to spiny, and 10) characters of capillitium.^ RANGE The type is from Australia, (Wright). The University of Michigan has a collection submitted by Ellen Trueblood from ID and determined by J. Wright, and another of her ID collections annotated by J. Wright / D. Prusso.",85,13
"1526","CHEMICAL REACTIONS",NA,85,14
"1527","OUTER SURFACE","  spore-sac up to 2.5cm across, spherical, slightly umbonate; exoperidium typically hyphal [formed by a more or less loose layer of hyphae, agglutinated with sand particles]",85,15
"1528","INNER LAYER","  endoperidium pure white, smooth, bald and brilliant; mouth small with entire border; socket (where stem attaches) scaly",85,16
"1529","SPORE MASS","  ochraceous",85,17
"1530","STEM","  1.5cm long and 0.5cm wide, short and obese [stout]; ochraceous; wrinkled longitudinally",85,18
"1531","ODOR",NA,86,1
"1532","TASTE",NA,86,2
"1533","EDIBILITY",NA,86,3
"1534","HABITAT","  sandy soil",86,4
"1535","SPORE DEPOSIT",NA,86,5
"1536","MICROSCOPIC","  spores (4.2)5.7-7.2(7.6) microns in diameter, (10-11 microns in the original description), round to nearly round, distinctly verrucose to echinulate [warty to spiny], brown; capillitium threads colorless, branched with lunate axils, thick-walled, septa rare, slightly colored, not broad",86,6
"1537","NAME ORIGIN","  means 'white'",86,7
"1538","SIMILAR",NA,86,8
"1539","SOURCES","  Wright(1), http://herbarium.lsa.umich.edu accessed October 9, 2004",86,9
"1540","MUSHROOM_ID","86",86,10
"1541","FAMILY","  Agaricaceae, Order Agaricales, Class Agaricomycetes, Phylum Basidiomycota",86,11
"1542","LATIN NAME(S)","  Tulostoma americanum  Lloyd^  The Tylostomeae, p.20. 1906",86,12
"1543","ENGLISH NAME(S)",NA,86,13
"1544","NOTES","  features include 1) spherical spore-sac on stem, 2) exoperidium indistinct, leaving a few finely scaly remnants on endoperidium, 3) endoperidium ochraceous white and almost smooth, 4) large mouth circular to elliptic, with conspicuous lip, flat or slightly projecting, often more than one mouth present, 5) conspicuous disc-like socket where stem attaches, 6) somewhat woody stem, 7) growth in sandy soil, 8) spores nearly round to somewhat elliptic, smooth or slightly granulose, and 9) characters of capillitium.^ Wright comments, ""We believe... that this species is a mere American form of T. caespitosum, differing slightly in the nature of the spores, being on the whole T. americanum more robust [sic]"", (Wright, Latin names underlined); Lloyd was of the opinion that it was identical to T. kansense, which is T. obesum, (Wright). The description is derived from Wright. RANGE Collections were examined from AZ, California (doubtful), CO, NE, TX, Wyoming (doubtful), and Argentina, (Wright). The University of Michigan has a collection submitted by Ellen Trueblood from ID and determined by D. Prusso.",86,14
"1545","CHEMICAL REACTIONS",NA,86,15
"1546","OUTER SURFACE","  spore-sac up to 2.5cm in diameter, spherical-deformed; exoperidium ""indistinct, apparently thinly membranous, semideciduous"", leaving a few remnants adhering to endoperidium as small whitish squamules [fine scales]",86,16
"1547","INNER LAYER","  endoperidium ochraceous white, almost smooth; mouth circular to elliptic, large, with conspicuous lip that is sometimes more notable than other times, flat or very slightly projecting, often more than one stoma per fruitbody; socket (where stem attaches) ""conspicuous, separated, disciform""",86,17
"1548","SPORE MASS","  ochraceous",86,18
"1549","STEM","  up to 6cm long and 0.5cm wide, somewhat woody, the cortex cracking, frequently distorted",87,1
"1550","ODOR",NA,87,2
"1551","TASTE",NA,87,3
"1552","EDIBILITY",NA,87,4
"1553","HABITAT","  sandy soil, January, July",87,5
"1554","SPORE DEPOSIT",NA,87,6
"1555","MICROSCOPIC","  spores 4-5.4 microns in diameter, nearly round to subelliptic, ""smooth to imperceptibly granulose"" with a good oil-immersion lens, more visible in Melzer's reagent, some vacuolate; capillitium threads 2.6-7 microns wide, colorless, thick-walled and lumen visible to solid, septate, disjointable, with blunt ends",87,7
"1556","NAME ORIGIN","  means 'of America', refers to its origin and distribution",87,8
"1557","SIMILAR","  Tulostoma caespitosum Trab., recorded from NM and UT, but not yet from the Pacific Northwest differs ""slightly in the nature of the spores"", the spores of T. caespitosum being 4.2-5.9 microns in diameter, round to elliptic, minutely asperulate, guttulate, nearly colorless, the episporium relatively thick and the ornamentation uneven, (Wright). Tulostoma obesum is similar according to Lloyd's observations (see also NOTES): in Wright's key they separate on the basis that spores are smooth to imperceptibly granulose in T. americanum, and smooth in T. volvulatum [T. obesum], but no mention is made of a volva-like structure in either T. americanum or the similar T. caespitosum.",87,9
"1558","SOURCES","  Wright(1), http://herbarium.lsa.umich.edu accessed October 9, 2004",87,10
"1559","MUSHROOM_ID","87",87,11
"1560","FAMILY","  Agaricaceae, Order Agaricales, Class Agaricomycetes, Phylum Basidiomycota",87,12
"1561","LATIN NAME(S)","  Tulostoma beccarianum  Bresad.^  in Petri, Ann. Mycol. 2: 413-414. 1904;  Tulostoma simulans  Lloyd",87,13
"1562","ENGLISH NAME(S)","  buried-stalk puffball",87,14
"1563","NOTES","  Features include 1) small spherical spore-sac on a slender stem, 2) exoperidium thin membranous, 3) endoperidium yellowish pink, cupreous, or dark ochraceous, 4) mouth circular, slightly projecting and with a dark peristome, 5) membrane from border of socket entire, 6) ochraceous ferruginous spore mass, 7) stem slightly colored, 8) growth in forest litter or in nurseries, 9) round verrucose spores, and 10) characters of capillitium.^ This is one of the most common species of the genus in North America, (Wright). Altes & Moreno(1993) say that T. beccarianum Bresad. is the correct name for T. simulans Lloyd. The description is derived from Wright (as T. simulans) except where noted. RANGE Collections were examined from ON, AZ, CA, CO, FL, IL, IN, IA, KS, MN, NE, NM, NY, NC, ND, OH, TN, TX, UT, Mexico, Argentina, Peru, Spain, South Africa, Israel, Kazakhstan, Australia, and New Zealand - it was probably introduced outside North America, (Wright (as T. simulans)). It occurs in ID (Oliver(1) as T. simulans, who say it is very difficult to distinguish from T. jourdani in central Washington). The University of Michigan has several collections from each of ID and MI, the ID collections submitted by Ellen Trueblood and determined in 1994 by J. Wright as T. simulans.",87,15
"1564","CHEMICAL REACTIONS",NA,87,16
"1565","OUTER SURFACE","  spore-sac up to 1.2cm across, generally spherical and small in relation to stem; exoperidium ""membranous, very thin, peeling off in small portions, scale-wise, surface slightly granulose due to adhered soil particles and debris"", (Wright), exoperidium thinly membranous to indistinct, (Esqueda)",87,17
"1566","INNER LAYER","  endoperidium ""not white but some hue of yellowish pink, cupreous or dark ochraceous, fragile""; mouth circular, slightly projecting, with a dark cinereous [ash-gray] peristome; socket (where stem attaches) slightly separated from stem, membrane from border of socket entire",87,18
"1567","SPORE MASS","  ochraceous ferruginous",88,1
"1568","STEM","  slightly colored, up to 3.5cm long and 0.2cm wide, ""the cortex peeling off thinly, somewhat darker, longitudinally striate (when decorticated) in the upper third""",88,2
"1569","ODOR",NA,88,3
"1570","TASTE",NA,88,4
"1571","EDIBILITY",NA,88,5
"1572","HABITAT","  ""forest soil, among litter, sometimes in dunicolous tree nurseries"", January, April to October, December",88,6
"1573","SPORE DEPOSIT",NA,88,7
"1574","MICROSCOPIC","  spores 4-5.4 microns diameter, verrucose, under scanning electron microscope ""appears as appressed, conic verrucae formed by fused columns""^; capillitium nearly colorless, ""branched, septate; threads thick-walled, swollen at the disjointable, uncolored septa; 2.6-4.1 microns diam.""",88,8
"1575","NAME ORIGIN","  refers to fungus being camouflaged as another species, thus simulating it^, (Wright)",88,9
"1576","SIMILAR","  T. beccarianum is close to Tulostoma brumale and could constitute a North American variety of it, but is maintained as separate species because it has somewhat different spores (under the scanning electron microscope), (Wright). Tulostoma obscurum is similar but has a fibrillose mouth (although this feature is not always easy to distinguish) and larger spores, (Wright). Tulostoma montanum is easily confused (Altes).",88,10
"1577","SOURCES","  Altes(1), Wright(1) (as T. simulans), http://herbarium.lsa.umich.edu accessed October 9, 2004 (as T. simulans), Schalkwijk-Barendsen(1)* (as T. simulans), Lincoff(2)* (as T. simulans), Esqueda(2), Oliver(1)",88,11
"1578","MUSHROOM_ID","88",88,12
"1579","FAMILY","  Agaricaceae, Order Agaricales, Class Agaricomycetes, Phylum Basidiomycota",88,13
"1580","LATIN NAME(S)","  Tulostoma brumale  Pers.: Pers.^  Synopsis Meth. Fung., Disp. Meth. p.6. 1801;  Tulostoma mammosum  (P. Micheli) Fr.;  Tulostoma brevipes  Petri;  Tulostoma fuscoviolaceostipitatum  Shvartsman & Philimonova",88,14
"1581","ENGLISH NAME(S)","  winter stalkball",88,15
"1582","NOTES","  Tulostoma brumale is characterized by 1) colored endoperidium with a very tenuous, almost mycelial exoperidium, 2) slightly elevated tubular mouth surrounded by dark peristome, 3) not very large spores with verruculose ornamentation, and 4) capillitium with broad stirrup-like septum and somewhat ornamented walls, (Wright).^ The description is derived from Wright. RANGE Collections were examined from ND, Austria, Belgium, Czech Republic, Denmark, Finland, France, Germany, Hungary, Italy, Netherlands, Norway, Poland, Portugal, Spain, Sweden, Switzerland, the United Kingdom, Tunisia, Georgia, and Kazakhstan. It is probably the most common Tulostoma species in western Europe. The distribution also includes IL, PA, SC, WI, Argentina, Luxembourg, and Yugoslavia. (Wright). The University of Michigan has two collections submitted by Ellen Trueblood from OR and determined by D. Prusso.",88,16
"1583","CHEMICAL REACTIONS",NA,88,17
"1584","OUTER SURFACE","  spore-sac 0.4-1.3cm across, usually 0.7-0.9cm, spherical to nearly spherical; exoperidium ""membranous to submembranous, not always distinct"", ""whitish within, light brownish to cinereous brown on the outside, sometimes with purplish hues, the external hyphae generally agglutinated with sand particles or plant debris, persistent at the base and sometimes obscuring its real nature""",88,18
"1585","INNER LAYER","  endoperidium papyraceous tough, fragile when old; ""whitish yellow to, more commonly, orange yellow or light yellowish brown, when weathered or growing in unfavourable habitats nearly white"", generally discolored when old toward the base or toward the mouth; in many collections with a whitish bloom; finally smooth; mouth short tubular, slightly projecting, with dark peristome around it, its color varying ""from yellowish brown to dirty brown and, sometimes, dark cinereous or ashy brown""; socket (where stem attaches) inconspicuous, appressed to stem, with a lacerate [torn] membrane at its border",89,1
"1586","SPORE MASS","  light ochraceous",89,2
"1587","STEM","  1.4-4.5cm x 0.15-0.4cm, most commonly straight; light-colored (usually straw yellow to light brown); often with a peculiar sheen; ""with a mycelial pad at the base, which is often discoid""",89,3
"1588","ODOR",NA,89,4
"1589","TASTE",NA,89,5
"1590","EDIBILITY",NA,89,6
"1591","HABITAT","  in sand or humus, ""but does not grow in truly desertic zones, but rather in areas with vegetational protection, or in sandy soils among herbs, mosses, etc.""; mostly October and December",89,7
"1592","SPORE DEPOSIT",NA,89,8
"1593","MICROSCOPIC","  spores 4-6 microns (most fitting in this range, usually averaging 5 microns), round to nearly round, with small dispersed verrucae or tiny spines that are not very distinct under light microscope, at times coalescing in minute cristae [crests] at the base, spores yellowish^; capillitium threads (1.8)2.8(7.2) microns wide, colorless, branched, ""abruptly swollen at the numerous yellowish brown septa, the broadened portion almost square in typical specimens, up to 12 microns diam, and each side like a stirrup"", threads thick-walled with scant lumen to solid [without lumen] or lacunar [strangled at intervals], the outer surface ""generally covered with crystalline plaques which make them appear incrusted"", many times the threads are moniliform [like a string of beads]; exoperidium formed by thick-walled hyphae with a few conspicuous clamp connections",89,9
"1594","NAME ORIGIN","  means 'pertaining to winter'",89,10
"1595","SIMILAR","  See also SIMILAR section of Tulostoma beccarianum, Tulostoma ferrugineum, and Tulostoma squamosum.",89,11
"1596","SOURCES","  Wright(1), http://herbarium.lsa.umich.edu accessed October 9, 2004, Phillips(1)*, McKnight(1)*, Bessette(2)*, Lincoff(1)*, Courtecuisse(1)*, Bacon(1)*, Buczacki(1)*",89,12
"1597","MUSHROOM_ID","89",89,13
"1598","FAMILY","  Agaricaceae, Order Agaricales, Class Agaricomycetes, Phylum Basidiomycota",89,14
"1599","LATIN NAME(S)","  Tulostoma chudaei  Pat.^  Bull. Soc. Mycol. France 23: 84. 1907",89,15
"1600","ENGLISH NAME(S)",NA,89,16
"1601","NOTES","  Features include 1) spore-sac with persistent exoperidium at its base, with a stem that separates easily from the socket, resulting in an acorn cup appearance, 2) dark ochraceous to ferruginous spore mass, 3) growth in sandy soil, 4) round to elliptic asperulate spores, and 5) characters of capillitium.^ The description is derived from Wright. RANGE Collections were examined from Mexico (doubtful), Argentina, Sudan, and Australia, (Wright), and Mexico (Esqueda(2), later than Wright's study). The University of Michigan has a collection submitted by Ellen Trueblood from ID, determined in 1994 by J. Wright.",89,17
"1602","CHEMICAL REACTIONS",NA,89,18
"1603","OUTER SURFACE","  spore-sac up to 2cm in diameter, generally separating easily from the stem and appearing like an acorn cup; exoperidium a thick hyphal layer mixed with sand particles, persisting a long time at the base as a sort of cup",90,1
"1604","INNER LAYER","  endoperidium tough, ""whitish to ochraceous, not smooth, with scars left by the sand grains""; mouth tubular, very short, projecting slightly; socket (where stem attaches) very distinct and deep, rather distant from stem, with an entire membrane at its border",90,2
"1605","SPORE MASS","  dark ochraceous to ferruginous",90,3
"1606","STEM","  up to 4cm long and 0.4cm wide, light wood color, ending basally in a rugose [wrinkled] bulb, the cortex cracking in small squamules [scales] and finally striate in some parts",90,4
"1607","ODOR",NA,90,5
"1608","TASTE",NA,90,6
"1609","EDIBILITY",NA,90,7
"1610","HABITAT","  in sand (Trueblood specimen), sandy soil in desertic or very arid regions (Wright)",90,8
"1611","SPORE DEPOSIT",NA,90,9
"1612","MICROSCOPIC","  spores 4-5.5 microns in diameter, round to elliptic, finely asperulate [finely rough with point-like projections], yellowish; capillitium subhyaline [nearly colorless], branched and septate, ""threads slightly swollen at septa which are uncolored and disjointable, 2.6-6.2 microns diam.""; endoperidium of generally more septate hyphae than capillitium, but more slender and almost solid",90,10
"1613","NAME ORIGIN","  in honor of the collector M. Chudeau",90,11
"1614","SIMILAR","  Tulostoma jourdani could easily be mistaken, but has different spore ornamentation under a scanning electron microscope (wrinkled rather than verrucose) and appears slightly asperulate to almost smooth under light microscope, and the spore range given is slightly different, (Wright).",90,12
"1615","SOURCES","  Wright(1), Moreno(3), Esqueda(2), http://herbarium.lsa.umich.edu accessed October 9, 2004",90,13
"1616","MUSHROOM_ID","90",90,14
"1617","FAMILY","  Agaricaceae, Order Agaricales, Class Agaricomycetes, Phylum Basidiomycota",90,15
"1618","LATIN NAME(S)","  Tulostoma cretaceum  Long^  Mycologia 36: 321-322. 1947",90,16
"1619","ENGLISH NAME(S)",NA,90,17
"1620","NOTES","  Features include 1) a spherical spore-sac on stem, 2) loosely woven persistent white exoperidium mixed with sand grains, 3) membranous white endoperidium, 4) fibrillose mouth that quickly becomes indefinite with weathering, 5) conspicuous socket where stem attaches, bearing a membrane with an entire border, 6) spore mass that is ferruginous to chocolate to sepia, 7) white longitudinally striate stem than narrows toward base, with a volva-shaped thickening at the base and conspicuous rooting rhizomorphs, 8) growth in sandy soil in semidesert, 9) round to broadly elliptic smooth spores, and 10) characters of capillitium.^ The description is derived from Wright(1) except where noted. RANGE Collections were examined from CA, NM, and Argentina, (Wright), and Mexico (Esqueda). The University of Michigan has 2 collections submitted by Ellen Trueblood from ID, determined in 1994 by J. Wright, and 2 collections from AZ.",90,18
"1621","CHEMICAL REACTIONS",NA,91,1
"1622","OUTER SURFACE","  spore-sac 1.6cm by 1.3cm, nearly spherical; exoperidium hyphal [loosely woven intermixed with sand grains], ""not membranous, persistent, covering in part the endoperidium, white to cream colored""",91,2
"1623","INNER LAYER","  endoperidium membranous, white to slightly creamish, smooth; mouth fibrillose but quickly indefinite with weathering; socket (where stem attaches) conspicuous, separated from stem, membrane at socket border entire",91,3
"1624","SPORE MASS","  ferruginous to chocolate color to sepia",91,4
"1625","STEM","  up to 8cm long and 0.5cm wide, distinctly narrowing toward base; white; longitudinally striate, forming ribs near top of stem; with volva-shaped thickening at base and very conspicuous radicular [rooting] rhizomorphs, (Wright), conspicuous basal mycelial cord (Esqueda)",91,5
"1626","ODOR",NA,91,6
"1627","TASTE",NA,91,7
"1628","EDIBILITY",NA,91,8
"1629","HABITAT","  sandy soil in semidesertic regions, March, May, July to October, December",91,9
"1630","SPORE DEPOSIT",NA,91,10
"1631","MICROSCOPIC","  spores 4-5.4 microns in diameter, round to nearly round, mostly elliptic, smooth, light brown to dark brown, guttulate; capillitium threads 2-6.1 microns wide, slightly yellowish, thin to thick walls, some ribbon-like, ""not swollen at the scant septa, with lateral projections and broadened ends"", (Wright), capillitium with short branches and sparse septa (Esqueda)",91,11
"1632","NAME ORIGIN","  refers to the chalky color of the endoperidium^ (Wright)",91,12
"1633","SIMILAR","  T. cretaceum is related to the Tulostoma obesum group, ""but is usually more slender than the other species and with a ferruginous gleba (not chocolate brown coloured)"", (Esqueda).",91,13
"1634","SOURCES","  Wright(1), Moreno(3), Esqueda(2), http://herbarium.lsa.umich.edu accessed October 9, 2004",91,14
"1635","MUSHROOM_ID","91",91,15
"1636","FAMILY","  Agaricaceae, Order Agaricales, Class Agaricomycetes, Phylum Basidiomycota",91,16
"1637","LATIN NAME(S)","  Tulostoma delbustoi  J.E. Wright^  Bibliotheca Mycologica Band 113: 90. 1987",91,17
"1638","ENGLISH NAME(S)",NA,91,18
"1639","NOTES","  Tulostoma delbustoi is ""characterized by the small size and the combination of a hyphal exoperidium, a fimbriate mouth and the apparently smooth spores with the characteristic markings observed under SEM"", (Wright).^ RANGE It was described from Argentina. The University of Michigan has a collection submitted by Ellen Trueblood from ID and determined in 1994 by J. Wright.",92,1
"1640","CHEMICAL REACTIONS",NA,92,2
"1641","OUTER SURFACE","  spore-sac up to 0.8cm across, spherical; exoperidium hyphal [with loosely arranged hyphae mixed with sand grains], persistent at base",92,3
"1642","INNER LAYER","  endoperidium ashy white; mouth fimbriate; socket [where stem attaches] ""somewhat deep, slightly separated from stem"", membrane at its border lacerated to denticulate [torn to finely toothed]",92,4
"1643","SPORE MASS","  ochraceous",92,5
"1644","STEM","  3cm long and 0.2cm wide, round in cross-section or somewhat narrowing toward base, fragile; light brownish yellowish; slightly longitudinal-striate",92,6
"1645","ODOR",NA,92,7
"1646","TASTE",NA,92,8
"1647","EDIBILITY",NA,92,9
"1648","HABITAT","  in sandy soil, Jan 15, (for E. Trueblood collection), in sand in maritime dunes, April 21 and July 8, (for Argentina collection)",92,10
"1649","SPORE DEPOSIT",NA,92,11
"1650","MICROSCOPIC","  spores (3.2)3.6-4.3(5) x (2.8)3.6-4(4.3) microns, round, nearly round, oval to elliptic, appearing smooth under light microscope, but ""with a dense covering of short, anastomosed cristae that do not form a true reticulation"" under scanning electron microscope; spores yellowish; capillitium threads 2.1-7.2 microns wide, slightly colored, with brownish septa (not swollen at septa), sparsely branched, walls thick (up to 1.5 microns), lumen visible, mixed with tramal hyphae",92,12
"1651","NAME ORIGIN","  named after E. del Busto, who found the type",92,13
"1652","SIMILAR",NA,92,14
"1653","SOURCES","  Wright(1), http://herbarium.lsa.umich.edu accessed October 9, 2004",92,15
"1654","MUSHROOM_ID","92",92,16
"1655","FAMILY","  Agaricaceae, Order Agaricales, Class Agaricomycetes, Phylum Basidiomycota",92,17
"1656","LATIN NAME(S)","  Tulostoma excentricum  Long^  Mycologia 36: 332-333. 1944",92,18
"1657","ENGLISH NAME(S)",NA,93,1
"1658","NOTES","  Features include 1) spherical depressed spore-sac on stem, 2) exoperidium with loosely arranged hyphae mingled with sand, 3) endoperidium smooth and whitish to ochraceous to light grayish with purplish hues, 4) mouth tubular, prominent, projecting, sometimes with a sunken peristome, 5) socket where stem attaches that is conspicuous, 6) spore mass light ferruginous, 7) stem scaly, with small volva-like structure at base, 8) growth in sandy soil, 9) nearly round to elliptic spores that are almost imperceptibly punctate, and 10) characters of capillitium.^ The description is derived from Wright(1). RANGE Collections were examined from CA, NM, Kazakhstan, and Turkmenistan, (Wright). The University of Michigan has a collection submitted by Ellen Trueblood from ID, and determined by D. Prusso.",93,2
"1659","CHEMICAL REACTIONS",NA,93,3
"1660","OUTER SURFACE","  spore-sac up to 1.8cm across and 1.3cm high, spherical-depressed; exoperidium hyphal (hyphae loosely arranged with sand grains intermingled)",93,4
"1661","INNER LAYER","  endoperidium ""whitish to ochraceous to light greyish with purplish hues""; smooth; mouth ""tubular, prominent, projecting, in some specimens with a sunken peristome"" around the mouth; socket (where the stem attaches) ""conspicuous, not very separated from the stem""",93,5
"1662","SPORE MASS","  light ferruginous",93,6
"1663","STEM","  up to 7cm long and 0.6cm wide, slightly narrowing toward base (notably so in some specimens); generally concolorous, in some specimens very thin and dark; squamose [scaly], scales as in Battarrea but inverted; with small volva-like structure at base",93,7
"1664","ODOR",NA,93,8
"1665","TASTE",NA,93,9
"1666","EDIBILITY",NA,93,10
"1667","HABITAT","  sandy soil; February, April, June",93,11
"1668","SPORE DEPOSIT",NA,93,12
"1669","MICROSCOPIC","  spores 4.6-6.1 microns in diameter, nearly round to elliptic, almost imperceptibly punctate, light brown, some apiculate; capillitium threads 2.6-5.4 microns wide, nearly colorless, branched, septate, very thick-walled and lumen lacunar [strangulated at intervals], swollen at the colored septa",93,13
"1670","NAME ORIGIN","  probably refers to the eccentric position of the mouth^, (Wright)",93,14
"1671","SIMILAR",NA,93,15
"1672","SOURCES","  Wright(1), http://herbarium.lsa.umich.edu accessed October 9, 2004",93,16
"1673","MUSHROOM_ID","93",93,17
"1674","FAMILY","  Agaricaceae, Order Agaricales, Class Agaricomycetes, Phylum Basidiomycota",93,18
"1675","LATIN NAME(S)","  Tulostoma ferrugineum  Oliver & Hosford^  Mycotaxon 7: 279-280. 1979",94,1
"1676","ENGLISH NAME(S)",NA,94,2
"1677","NOTES","  Features include 1) small roundish spore-sac on a reddish brown stem with a bulbous to diffuse base, 2) spore-sac with outer covering that falls off completely leaving a tough grayish brown inner sac, 3) a short tubular mouth that projects about 0.1cm and has a narrow area around it that becomes pale when old, 4) growth with rabbit-brush in sandy areas in spring, and 5) microscopic characters including round or nearly round warty spores.^ Wright's description depends on that of Oliver and Hosford, but both are used for the sake of uniform terminology with Wright's other descriptions. RANGE The distribution is given as ""NE United States"", but the type was found in WA state, (Wright(1)).",94,3
"1678","CHEMICAL REACTIONS",NA,94,4
"1679","OUTER SURFACE","  spore-sac 1-1.3cm across, 0.75-1cm high, nearly spherical to spherical-depressed, (fruitbody 3-6.5cm tall); exoperidium granular, ""composed of a thin layer of sand and entangled, thick-walled hyphae"", soon retreating and leaving only a basal peridial sheath 0.3-0.4cm wide^, (Oliver), spore-sac 1-1.3cm across, 0.75-1cm high, nearly spherical to spherical-depressed, exoperidium ""hyphal, with threads agglutinated with sand particles, not persistent"", (Wright)",94,5
"1680","INNER LAYER","  endoperidium membranous, tough; brownish gray; mouth tubular, short, 0.1cm across and 0.1cm high, a distinct gray endoperidial zone 0.1-0.15cm wide present around the base of the tube, tending to fade when old; collar (where stem attaches) indistinct^, (Oliver), endoperidium membranous, tough; grayish brown; finally smooth; mouth tubular, short, projecting about 0.1cm and 0.1cm across, peristome 0.1-0.15cm wide, bleaching when old; socket (where stem attaches) indistinct, (Wright)",94,6
"1681","SPORE MASS","  not described",94,7
